------------ Init ------------
Log file: outputs/phi/Ball/second_phase/log.txt
Args:  Namespace(activate_type=2, action_type='Ball', alpha=1.0, batch=32, beta=0.01, clip_num=68, ckpt='outputs/phi/Ribbon/first_phase/best.pkl', dataset='FS1000', decay_rate=0.01, dropout=0.3, epoch=200, exp_name='second_phase', flow_hidden_dim=256, gpus=[0], hidden_dim=256, in_dim=1024, loss_align=1, lr=0.01, lr_decay='cos', margin=1.0, momentum=0.9, multmoding=False, n_decoder=2, n_encoder=1, n_head=1, n_query=4, optim='sgd', score_type='Total_Score', seed=0, model_name='phi', test=False, test_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/test.txt', train_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/train.txt', video_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/swintx_avg_fps25_clip32', warmup=0, weight_decay=0.0001)
 Random seed: 0
Using device: cuda
-------- Loading data --------
Train data size: 200
 Test data size: 50
------- Loading model --------
PHI...
Load pretrained model from  outputs/phi/Ribbon/first_phase/best.pkl
---------- Training ----------
**** Best model saved, coef: 0.510, rl2: 12.436
Epoch: 95	Loss: 0.2227	Train Coef: 0.937	Test Loss: 0.0134	Test Coef: 0.815	L2: 0.013	RL2: 2.243
Epoch: 96	Loss: 0.2219	Train Coef: 0.953	Test Loss: 0.0149	Test Coef: 0.804	L2: 0.015	RL2: 2.495
Epoch: 97	Loss: 0.2213	Train Coef: 0.959	Test Loss: 0.0165	Test Coef: 0.825	L2: 0.016	RL2: 2.752
Epoch: 98	Loss: 0.2225	Train Coef: 0.959	Test Loss: 0.0153	Test Coef: 0.810	L2: 0.015	RL2: 2.551
Epoch: 99	Loss: 0.2207	Train Coef: 0.962	Test Loss: 0.0148	Test Coef: 0.828	L2: 0.015	RL2: 2.475
Epoch: 100	Loss: 0.2229	Train Coef: 0.953	Test Loss: 0.0152	Test Coef: 0.804	L2: 0.015	RL2: 2.544
Epoch: 101	Loss: 0.2214	Train Coef: 0.944	Test Loss: 0.0150	Test Coef: 0.828	L2: 0.015	RL2: 2.502
Epoch: 102	Loss: 0.2231	Train Coef: 0.938	Test Loss: 0.0183	Test Coef: 0.820	L2: 0.018	RL2: 3.060
Epoch: 103	Loss: 0.2178	Train Coef: 0.963	Test Loss: 0.0160	Test Coef: 0.792	L2: 0.016	RL2: 2.672
Epoch: 104	Loss: 0.2220	Train Coef: 0.947	Test Loss: 0.0152	Test Coef: 0.827	L2: 0.015	RL2: 2.540
Epoch: 105	Loss: 0.2199	Train Coef: 0.955	Test Loss: 0.0161	Test Coef: 0.795	L2: 0.016	RL2: 2.686
Epoch: 106	Loss: 0.2195	Train Coef: 0.949	Test Loss: 0.0129	Test Coef: 0.828	L2: 0.013	RL2: 2.151
Epoch: 107	Loss: 0.2225	Train Coef: 0.931	Test Loss: 0.0142	Test Coef: 0.824	L2: 0.014	RL2: 2.367
Epoch: 108	Loss: 0.2192	Train Coef: 0.950	Test Loss: 0.0168	Test Coef: 0.817	L2: 0.017	RL2: 2.803
Epoch: 109	Loss: 0.2196	Train Coef: 0.945	Test Loss: 0.0162	Test Coef: 0.832	L2: 0.016	RL2: 2.712
Epoch: 110	Loss: 0.2183	Train Coef: 0.952	Test Loss: 0.0154	Test Coef: 0.813	L2: 0.015	RL2: 2.577
Epoch: 111	Loss: 0.2205	Train Coef: 0.929	Test Loss: 0.0175	Test Coef: 0.810	L2: 0.017	RL2: 2.914
Epoch: 112	Loss: 0.2187	Train Coef: 0.960	Test Loss: 0.0142	Test Coef: 0.809	L2: 0.014	RL2: 2.370
Epoch: 113	Loss: 0.2174	Train Coef: 0.959	Test Loss: 0.0167	Test Coef: 0.814	L2: 0.017	RL2: 2.786
Epoch: 114	Loss: 0.2194	Train Coef: 0.970	Test Loss: 0.0166	Test Coef: 0.808	L2: 0.017	RL2: 2.769
Epoch: 115	Loss: 0.2192	Train Coef: 0.955	Test Loss: 0.0136	Test Coef: 0.832	L2: 0.014	RL2: 2.269
Epoch: 116	Loss: 0.2201	Train Coef: 0.946	Test Loss: 0.0171	Test Coef: 0.818	L2: 0.017	RL2: 2.854
Epoch: 117	Loss: 0.2176	Train Coef: 0.951	Test Loss: 0.0161	Test Coef: 0.791	L2: 0.016	RL2: 2.695
Epoch: 118	Loss: 0.2196	Train Coef: 0.971	Test Loss: 0.0162	Test Coef: 0.825	L2: 0.016	RL2: 2.708
Epoch: 119	Loss: 0.2183	Train Coef: 0.951	Test Loss: 0.0156	Test Coef: 0.807	L2: 0.016	RL2: 2.608
